1 | 2 | 0
2 | 2 | 0
3 | 3 | 0
4 | 2 | 0
5 | 2 | 0
6 | 2 | 0
7 | 3 | 0
8 | 3 | 0
9 | 2 | 0
10 | 1 | 2
11 | 3 | 3
12 | 3 | 3
13 | 3 | 3
14 | 3 | 2
15 | 3 | 1
16 | 3 | 1
17 | 3 | 1
18 | 3 | 1
19 | 3 | 2
20 | 3 | 2
21 | 3 | 2
22 | 3 | 1
23 | 3 | 2
24 | 3 | 1
25 | 3 | 2
26 | 2 | 1
27 | 2 | 2
28 | 2 | 1
29 | 2 | 2
30 | 2 | 2
31 | 2 | 2
32 | 2 | 2
33 | 2 | 2
34 | 2 | 2
35 | 2 | 1
36 | 2 | 1
37 | 2 | 1
38 | 2 | 1
39 | 2 | 1
40 | 2 | 1
41 | 2 | 2
42 | 2 | 3
43 | 3 | 2
44 | 2 | 3
45 | 2 | 3
46 | 2 | 3
47 | 2 | 3
48 | 2 | 3
49 | 2 | 1
50 | 2 | 1
